200 200
0 0 -3.000
0 1 -2.000
0 2 -3.000
0 3 1.000
0 4 2.000
0 5 -3.000
0 6 3.000
0 7 -2.000
0 8 0.000
0 9 2.000
0 10 3.000
0 11 0.000
0 12 3.000
0 13 2.000
0 14 1.000
0 15 -3.000
0 16 -2.000
0 17 0.000
0 18 3.000
0 19 0.000
0 20 2.000
0 21 -1.000
0 22 0.000
0 23 2.000
0 24 0.000
0 25 0.000
0 26 2.000
0 27 -3.000
0 28 0.000
0 29 -2.000
0 30 0.000
0 31 -2.000
0 32 3.000
0 33 -1.000
0 34 -1.000
0 35 -3.000
0 36 2.000
0 37 -2.000
0 38 -1.000
0 39 3.000
0 40 -2.000
0 41 -2.000
0 42 -1.000
0 43 -3.000
0 44 -1.000
0 45 1.000
0 46 -1.000
0 47 3.000
0 48 -2.000
0 49 -2.000
0 50 3.000
0 51 -2.000
0 52 0.000
0 53 -3.000
0 54 2.000
0 55 2.000
0 56 2.000
0 57 2.000
0 58 2.000
0 59 0.000
0 60 2.000
0 61 -3.000
0 62 3.000
0 63 2.000
0 64 0.000
0 65 2.000
0 66 -3.000
0 67 2.000
0 68 -2.000
0 69 2.000
0 70 0.000
0 71 2.000
0 72 -2.000
0 73 1.000
0 74 0.000
0 75 2.000
0 76 -1.000
0 77 3.000
0 78 0.000
0 79 1.000
0 80 -1.000
0 81 -1.000
0 82 3.000
0 83 1.000
0 84 -2.000
0 85 -1.000
0 86 2.000
0 87 -2.000
0 88 0.000
0 89 2.000
0 90 0.000
0 91 3.000
0 92 1.000
0 93 1.000
0 94 1.000
0 95 3.000
0 96 0.000
0 97 3.000
0 98 -1.000
0 99 1.000
0 100 3.000
0 101 3.000
0 102 -2.000
0 103 3.000
0 104 1.000
0 105 2.000
0 106 2.000
0 107 -3.000
0 108 1.000
0 109 1.000
0 110 -3.000
0 111 1.000
0 112 0.000
0 113 -3.000
0 114 0.000
0 115 1.000
0 116 0.000
0 117 2.000
0 118 -3.000
0 119 -1.000
0 120 -3.000
0 121 2.000
0 122 3.000
0 123 1.000
0 124 3.000
0 125 0.000
0 126 1.000
0 127 -2.000
0 128 3.000
0 129 1.000
0 130 1.000
0 131 3.000
0 132 -3.000
0 133 -3.000
0 134 -1.000
0 135 -1.000
0 136 1.000
0 137 -3.000
0 138 3.000
0 139 -1.000
0 140 0.000
0 141 2.000
0 142 0.000
0 143 1.000
0 144 0.000
0 145 2.000
0 146 -1.000
0 147 -2.000
0 148 0.000
0 149 1.000
0 150 3.000
0 151 3.000
0 152 -3.000
0 153 -1.000
0 154 2.000
0 155 3.000
0 156 -2.000
0 157 -1.000
0 158 -3.000
0 159 3.000
0 160 -1.000
0 161 1.000
0 162 -2.000
0 163 -1.000
0 164 1.000
0 165 2.000
0 166 -2.000
0 167 -1.000
0 168 3.000
0 169 3.000
0 170 1.000
0 171 2.000
0 172 1.000
0 173 0.000
0 174 -3.000
0 175 -2.000
0 176 2.000
0 177 0.000
0 178 2.000
0 179 -1.000
0 180 2.000
0 181 3.000
0 182 0.000
0 183 0.000
0 184 -3.000
0 185 -2.000
0 186 2.000
0 187 -3.000
0 188 2.000
0 189 3.000
0 190 0.000
0 191 -3.000
0 192 3.000
0 193 -2.000
0 194 2.000
0 195 1.000
0 196 -3.000
0 197 2.000
0 198 3.000
0 199 3.000
1 0 -3.000
1 1 2.000
1 2 2.000
1 3 1.000
1 4 2.000
1 5 1.000
1 6 3.000
1 7 2.000
1 8 -1.000
1 9 1.000
1 10 -3.000
1 11 1.000
1 12 0.000
1 13 -3.000
1 14 1.000
1 15 3.000
1 16 0.000
1 17 -1.000
1 18 -2.000
1 19 -3.000
1 20 -2.000
1 21 -3.000
1 22 -1.000
1 23 -3.000
1 24 3.000
1 25 -1.000
1 26 2.000
1 27 1.000
1 28 0.000
1 29 -2.000
1 30 -3.000
1 31 0.000
1 32 3.000
1 33 -1.000
1 34 0.000
1 35 2.000
1 36 2.000
1 37 -3.000
1 38 -1.000
1 39 1.000
1 40 0.000
1 41 -1.000
1 42 -3.000
1 43 1.000
1 44 2.000
1 45 0.000
1 46 -2.000
1 47 2.000
1 48 2.000
1 49 1.000
1 50 1.000
1 51 1.000
1 52 2.000
1 53 -1.000
1 54 -2.000
1 55 2.000
1 56 3.000
1 57 -2.000
1 58 2.000
1 59 -3.000
1 60 1.000
1 61 3.000
1 62 2.000
1 63 -1.000
1 64 -1.000
1 65 1.000
1 66 -3.000
1 67 -2.000
1 68 -2.000
1 69 -2.000
1 70 3.000
1 71 -2.000
1 72 2.000
1 73 3.000
1 74 -2.000
1 75 -2.000
1 76 -1.000
1 77 2.000
1 78 1.000
1 79 -1.000
1 80 -2.000
1 81 0.000
1 82 3.000
1 83 0.000
1 84 2.000
1 85 1.000
1 86 3.000
1 87 -1.000
1 88 -3.000
1 89 0.000
1 90 -1.000
1 91 -2.000
1 92 2.000
1 93 -2.000
1 94 0.000
1 95 2.000
1 96 0.000
1 97 0.000
1 98 -1.000
1 99 -3.000
1 100 0.000
1 101 -1.000
1 102 0.000
1 103 -3.000
1 104 3.000
1 105 2.000
1 106 -3.000
1 107 2.000
1 108 -3.000
1 109 2.000
1 110 2.000
1 111 -2.000
1 112 -3.000
1 113 3.000
1 114 -2.000
1 115 1.000
1 116 -1.000
1 117 2.000
1 118 3.000
1 119 -3.000
1 120 0.000
1 121 1.000
1 122 3.000
1 123 0.000
1 124 -2.000
1 125 -1.000
1 126 -1.000
1 127 1.000
1 128 -3.000
1 129 -3.000
1 130 1.000
1 131 3.000
1 132 2.000
1 133 -3.000
1 134 -3.000
1 135 -3.000
1 136 -2.000
1 137 2.000
1 138 -3.000
1 139 0.000
1 140 2.000
1 141 -1.000
1 142 -2.000
1 143 -1.000
1 144 2.000
1 145 1.000
1 146 2.000
1 147 0.000
1 148 -2.000
1 149 3.000
1 150 -3.000
1 151 -1.000
1 152 0.000
1 153 1.000
1 154 0.000
1 155 0.000
1 156 3.000
1 157 3.000
1 158 -1.000
1 159 -3.000
1 160 0.000
1 161 2.000
1 162 -1.000
1 163 0.000
1 164 -3.000
1 165 3.000
1 166 1.000
1 167 0.000
1 168 1.000
1 169 -2.000
1 170 -2.000
1 171 -3.000
1 172 2.000
1 173 2.000
1 174 1.000
1 175 0.000
1 176 -2.000
1 177 -1.000
1 178 -3.000
1 179 -3.000
1 180 3.000
1 181 -2.000
1 182 2.000
1 183 0.000
1 184 -2.000
1 185 -1.000
1 186 -1.000
1 187 -2.000
1 188 1.000
1 189 2.000
1 190 -2.000
1 191 2.000
1 192 0.000
1 193 -3.000
1 194 -2.000
1 195 -2.000
1 196 3.000
1 197 -3.000
1 198 3.000
1 199 2.000
2 0 -1.000
2 1 -1.000
2 2 3.000
2 3 -3.000
2 4 -3.000
2 5 -2.000
2 6 0.000
2 7 -3.000
2 8 -3.000
2 9 1.000
2 10 2.000
2 11 0.000
2 12 3.000
2 13 0.000
2 14 3.000
2 15 -1.000
2 16 -2.000
2 17 1.000
2 18 0.000
2 19 -3.000
2 20 -3.000
2 21 -1.000
2 22 3.000
2 23 2.000
2 24 2.000
2 25 1.000
2 26 1.000
2 27 3.000
2 28 3.000
2 29 -2.000
2 30 -1.000
2 31 3.000
2 32 3.000
2 33 1.000
2 34 -2.000
2 35 -3.000
2 36 0.000
2 37 -3.000
2 38 3.000
2 39 1.000
2 40 3.000
2 41 1.000
2 42 -1.000
2 43 1.000
2 44 -2.000
2 45 1.000
2 46 -2.000
2 47 3.000
2 48 -2.000
2 49 -2.000
2 50 -1.000
2 51 3.000
2 52 -2.000
2 53 3.000
2 54 3.000
2 55 1.000
2 56 1.000
